INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2016-04-16T06:00:00-00:00,2016-04-16T07:00:00-00:00,1,2016-04-15,24,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,10459,DAM,5
2016-04-15T15:00:00-00:00,2016-04-15T16:00:00-00:00,1,2016-04-15,9,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,11833,DAM,5
2016-04-15T10:00:00-00:00,2016-04-15T11:00:00-00:00,1,2016-04-15,4,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,9329,DAM,5
2016-04-15T08:00:00-00:00,2016-04-15T09:00:00-00:00,1,2016-04-15,2,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,9536,DAM,5
2016-04-15T09:00:00-00:00,2016-04-15T10:00:00-00:00,1,2016-04-15,3,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,9365,DAM,5
2016-04-15T17:00:00-00:00,2016-04-15T18:00:00-00:00,1,2016-04-15,11,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,11448,DAM,5
2016-04-15T23:00:00-00:00,2016-04-16T00:00:00-00:00,1,2016-04-15,17,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,10902,DAM,5
2016-04-16T00:00:00-00:00,2016-04-16T01:00:00-00:00,1,2016-04-15,18,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,11025,DAM,5
2016-04-16T03:00:00-00:00,2016-04-16T04:00:00-00:00,1,2016-04-15,21,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,12168,DAM,5
2016-04-15T13:00:00-00:00,2016-04-15T14:00:00-00:00,1,2016-04-15,7,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,11076,DAM,5
2016-04-15T14:00:00-00:00,2016-04-15T15:00:00-00:00,1,2016-04-15,8,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,11720,DAM,5
2016-04-16T01:00:00-00:00,2016-04-16T02:00:00-00:00,1,2016-04-15,19,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,11328,DAM,5
2016-04-16T05:00:00-00:00,2016-04-16T06:00:00-00:00,1,2016-04-15,23,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,11201,DAM,5
2016-04-15T12:00:00-00:00,2016-04-15T13:00:00-00:00,1,2016-04-15,6,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,10109,DAM,5
2016-04-15T18:00:00-00:00,2016-04-15T19:00:00-00:00,1,2016-04-15,12,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,11268,DAM,5
2016-04-15T20:00:00-00:00,2016-04-15T21:00:00-00:00,1,2016-04-15,14,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,10920,DAM,5
2016-04-16T04:00:00-00:00,2016-04-16T05:00:00-00:00,1,2016-04-15,22,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,11846,DAM,5
2016-04-15T07:00:00-00:00,2016-04-15T08:00:00-00:00,1,2016-04-15,1,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,9925,DAM,5
2016-04-15T11:00:00-00:00,2016-04-15T12:00:00-00:00,1,2016-04-15,5,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,9520,DAM,5
2016-04-15T19:00:00-00:00,2016-04-15T20:00:00-00:00,1,2016-04-15,13,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,11045,DAM,5
2016-04-16T02:00:00-00:00,2016-04-16T03:00:00-00:00,1,2016-04-15,20,0,DAM,SCE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.2,11766.33,DAM,6
2016-04-16T01:00:00-00:00,2016-04-16T02:00:00-00:00,1,2016-04-15,19,0,DAM,SCE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.2,11234.34,DAM,6
2016-04-15T15:00:00-00:00,2016-04-15T16:00:00-00:00,1,2016-04-15,9,0,DAM,SCE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.2,11181.41,DAM,6
2016-04-16T05:00:00-00:00,2016-04-16T06:00:00-00:00,1,2016-04-15,23,0,DAM,SCE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.2,11222.18,DAM,6
2016-04-15T10:00:00-00:00,2016-04-15T11:00:00-00:00,1,2016-04-15,4,0,DAM,SCE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.2,9048.15,DAM,6
2016-04-15T23:00:00-00:00,2016-04-16T00:00:00-00:00,1,2016-04-15,17,0,DAM,SCE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.2,11261.53,DAM,6
2016-04-15T13:00:00-00:00,2016-04-15T14:00:00-00:00,1,2016-04-15,7,0,DAM,SCE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.2,10607.29,DAM,6
2016-04-15T09:00:00-00:00,2016-04-15T10:00:00-00:00,1,2016-04-15,3,0,DAM,SCE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.2,9058.86,DAM,6
